dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,WIND,2272
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,BIOMASS,833
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,CCGT,19315
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,COAL,0
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTELEC,0
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTEW,0
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTFR,-818
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTIFA2,-626
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTIRL,-88
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTNED,-1050
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTNEM,-1020
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,INTNSL,-16
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,NPSHYD,421
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,NUCLEAR,5288
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,OCGT,98
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,OIL,0
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,OTHER,603
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,PS,1456
FUELHH,2022-05-07T17:30:00Z,2022-05-07T17:00:00Z,2022-05-07,37,WIND,2204
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,BIOMASS,831
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,CCGT,19484
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,COAL,0
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,INTELEC,0
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,INTEW,0
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,INTFR,-922
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,INTIFA2,-702
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,INTIRL,-204
FUELHH,2022-05-07T17:00:00Z,2022-05-07T16:30:00Z,2022-05-07,36,INTNED,-928
